time,interest_1h,interest_8h
2022-11-01 01:00:00+00:00,8.53045606119698e-09,4.140373793768293e-07
2022-11-01 02:00:00+00:00,1.0376531362990112e-06,1.3056459409188944e-06
2022-11-01 03:00:00+00:00,0.0,1.176915008118267e-06
2022-11-01 04:00:00+00:00,0.0,1.171401648480972e-06
2022-11-01 05:00:00+00:00,0.0,1.172225656035459e-06
2022-11-01 06:00:00+00:00,0.0,1.1641673311242443e-06
2022-11-01 07:00:00+00:00,0.0,1.1363356145650648e-06
2022-11-01 08:00:00+00:00,1.3377797188774668e-08,1.061249148408184e-06
2022-11-01 09:00:00+00:00,5.5023278683518675e-08,1.1051220471784078e-06
2022-11-01 10:00:00+00:00,1.919394387210475e-07,2.5903122923089056e-07
2022-11-01 11:00:00+00:00,1.2377048500554594e-07,3.8575448448428017e-07
2022-11-01 12:00:00+00:00,1.2957025891902085e-09,3.84167010172657e-07
2022-11-01 13:00:00+00:00,0.0,3.848934435176624e-07
2022-11-01 14:00:00+00:00,0.0,3.847505782931447e-07
2022-11-01 15:00:00+00:00,2.9927767594632267e-08,4.165614857702172e-07
2022-11-01 16:00:00+00:00,1.4152993775492442e-07,5.455342717099953e-07
2022-11-01 17:00:00+00:00,4.120028070508251e-06,4.645085732017613e-06
2022-11-01 18:00:00+00:00,1.2357492680405628e-07,4.606684970910454e-06
2022-11-01 19:00:00+00:00,6.089629961671841e-06,1.0706454661760718e-05
2022-11-01 20:00:00+00:00,3.5895374006974366e-06,1.4200309944620346e-05
2022-11-01 21:00:00+00:00,3.1277416819398753e-07,1.4580111924380894e-05
2022-11-01 22:00:00+00:00,3.825949216000799e-06,1.8244770504539766e-05
2022-11-01 23:00:00+00:00,1.006777966866548e-05,2.8151994523024635e-05
2022-11-02 00:00:00+00:00,4.2260785725926646e-06,3.231732355289133e-05
2022-11-02 01:00:00+00:00,4.26240120664399e-07,2.857070419042404e-05
2022-11-02 02:00:00+00:00,1.7890923529934196e-07,2.8750179000451727e-05
2022-11-02 03:00:00+00:00,6.903287688833225e-07,2.342377638862912e-05
2022-11-02 04:00:00+00:00,5.761542468633155e-08,1.980681864035654e-05
2022-11-02 05:00:00+00:00,0.0,1.947994863769918e-05
2022-11-02 06:00:00+00:00,1.691074481833784e-07,1.578628555893226e-05
2022-11-02 07:00:00+00:00,1.8872659806207e-06,7.62010524770497e-06
2022-11-02 08:00:00+00:00,4.505991656523665e-07,3.842597315321524e-06
2022-11-02 09:00:00+00:00,0.0,3.4355328253117695e-06
2022-11-02 10:00:00+00:00,2.306983615646556e-07,3.4864608989966412e-06
2022-11-02 11:00:00+00:00,1.619802393792646e-07,2.9679083587292433e-06
2022-11-02 12:00:00+00:00,1.3336330542906018e-06,4.28186637865489e-06
2022-11-02 13:00:00+00:00,1.8831519820728327e-06,6.205070580689984e-06
2022-11-02 14:00:00+00:00,3.543513256173318e-07,6.3820201628393005e-06
2022-11-02 15:00:00+00:00,6.964697841485779e-07,5.210330896525242e-06
2022-11-02 16:00:00+00:00,0.0,4.6908565794547224e-06
2022-11-02 17:00:00+00:00,4.86293826558171e-08,4.76795849737972e-06
2022-11-02 18:00:00+00:00,1.9184959686861646e-06,6.3976388992944805e-06
2022-11-02 19:00:00+00:00,3.7105099821085412e-06,9.879405834978722e-06
2022-11-02 20:00:00+00:00,6.413582638853915e-09,8.59237802577887e-06
2022-11-02 21:00:00+00:00,-4.592486415658324e-08,6.652348850054714e-06
2022-11-02 22:00:00+00:00,-3.5000246112912246e-07,5.936055577225492e-06
2022-11-02 23:00:00+00:00,0.0,5.263641483522208e-06
2022-11-03 00:00:00+00:00,0.0,5.259154236917406e-06
2022-11-03 01:00:00+00:00,0.0,5.251773435983045e-06
2022-11-03 02:00:00+00:00,-2.964172017914318e-07,3.007146238583479e-06
2022-11-03 03:00:00+00:00,0.0,-7.055599091141565e-07
2022-11-03 04:00:00+00:00,0.0,-6.990771689339279e-07
2022-11-03 05:00:00+00:00,0.0,-6.425232314428177e-07
2022-11-03 06:00:00+00:00,0.0,-2.931014605488274e-07
2022-11-03 07:00:00+00:00,0.0,-2.925207703136953e-07
2022-11-03 08:00:00+00:00,0.0,-2.939105556097782e-07
